This is a model of Nomoto's that has been converted to Woosley's format









  79 0.9919 0.0101   5.240E+07   5.898E+08   7.101E+09   4.564E-01   0.000E+00  -1.242E+08   1.397E+00   2.666E+26
  80 1.0020 0.0110   5.342E+07   5.410E+08   7.012E+09   4.571E-01   0.000E+00  -1.261E+08   1.410E+00   2.396E+26
  81 1.0130 0.0110   5.448E+07   4.949E+08   6.917E+09   4.579E-01   0.000E+00  -1.282E+08   1.422E+00   2.144E+26
  82 1.0240 0.0120   5.566E+07   4.463E+08   6.811E+09   4.587E-01   0.000E+00  -1.305E+08   1.436E+00   1.886E+26
  83 1.0360 0.0090   5.696E+07   4.005E+08   6.690E+09   4.595E-01   0.000E+00  -1.331E+08   1.449E+00   1.649E+26
  84 1.0450 0.0060   5.800E+07   3.782E+08   6.625E+09   4.598E-01   0.000E+00  -1.352E+08   1.456E+00   1.536E+26
  85 1.0510 0.0050   5.873E+07   3.567E+08   6.559E+09   4.601E-01   0.000E+00  -1.367E+08   1.462E+00   1.427E+26
  86 1.0560 0.0060   5.949E+07   3.362E+08   6.491E+09   4.604E-01   0.000E+00  -1.381E+08   1.468E+00   1.324E+26
  87 1.0620 0.0060   6.026E+07   3.161E+08   6.422E+09   4.607E-01   0.000E+00  -1.397E+08   1.475E+00   1.225E+26
  88 1.0680 0.0060   6.108E+07   2.964E+08   6.340E+09   4.610E-01   0.000E+00  -1.413E+08   1.480E+00   1.129E+26
  89 1.0740 0.0070   6.194E+07   2.772E+08   6.261E+09   4.612E-01   0.000E+00  -1.430E+08   1.486E+00   1.038E+26
  90 1.0810 0.0060   6.282E+07   2.588E+08   6.173E+09   4.614E-01   0.000E+00  -1.448E+08   1.490E+00   9.517E+25
  91 1.0870 0.0060   6.375E+07   2.411E+08   6.092E+09   4.616E-01   0.000E+00  -1.465E+08   1.497E+00   8.700E+25
  92 1.0930 0.0060   6.472E+07   2.240E+08   5.993E+09   4.618E-01   0.000E+00  -1.483E+08   1.501E+00   7.910E+25
  93 1.0990 0.0060   6.575E+07   2.073E+08   5.892E+09   4.619E-01   0.000E+00  -1.503E+08   1.506E+00   7.167E+25
